question,answer
What is the form of government of the United States?,Republic | Constitution-based federal republic | Representative democracy
What is the supreme law of the land?,(U.S.) Constitution
Name one thing the U.S. Constitution does.,Forms the government | Defines powers of government | Defines the parts of government | Protects the rights of the people
"The U.S. Constitution starts with the words ""We the People."" What does ""We the People"" mean?",Self-government | Popular sovereignty | Consent of the governed | People should govern themselves | (Example of) social contract
How are changes made to the U.S. Constitution?,Amendments | The amendment process
What does the Bill of Rights protect?,(The basic) rights of Americans | (The basic) rights of people living in the United States
How many amendments does the U.S. Constitution have?,Twenty-seven (27)
Why is the Declaration of Independence important?,It says America is free from British control. | It says all people are created equal. | It identifies inherent rights. | It identifies individual freedoms.
What founding document said the American colonies were free from Britain?,Declaration of Independence
Name two important ideas from the Declaration of Independence and the U.S. Constitution.,Equality | Liberty | Social contract | Natural rights | Limited government | Self-government
"The words ""Life, Liberty, and the pursuit of Happiness"" are in what founding document?",Declaration of Independence
What is the economic system of the United States?,Capitalism | Free market economy
What is the rule of law?,Everyone must follow the law. | Leaders must obey the law. | Government must obey the law. | No one is above the law.
Many documents influenced the U.S. Constitution. Name one.,Declaration of Independence | Articles of Confederation | Federalist Papers | Anti-Federalist Papers | Virginia Declaration of Rights | Fundamental Orders of Connecticut | Mayflower Compact | Iroquois Great Law of Peace
There are three branches of government. Why?,So one part does not become too powerful | Checks and balances | Separation of powers
Name the three branches of government.,"Legislative, executive, and judicial | Congress, president, and the courts"
The President of the United States is in charge of which branch of government?,Executive branch
What part of the federal government writes laws?,(U.S.) Congress | (U.S. or national) legislature | Legislative branch
What are the two parts of the U.S. Congress?,Senate and House (of Representatives)
Name one power of the U.S. Congress.,Writes laws | Declares war | Makes the federal budget
How many U.S. senators are there?,One hundred (100)
How long is a term for a U.S. senator?,Six (6) years
Who is one of your state's U.S. senators now?,Answers will vary. (D.C. and U.S. territories have no U.S. senators.)
How many voting members are in the House of Representatives?,Four hundred thirty-five (435)
How long is a term for a member of the House of Representatives?,Two (2) years
Why do U.S. representatives serve shorter terms than U.S. senators?,To more closely follow public opinion
How many senators does each state have?,Two (2)
Why does each state have two senators?,Equal representation (for small states) | The Great Compromise (Connecticut Compromise)
